唐,60,-1.55675,-1.25572,-0.95469,-0.65366,-0.35263,-0.0516,0.24943,1.36502,1.03897,1.42934,1.17338,0.00672,-0.43783
貝,8,0.79045,1.09148,0.87135,0.40272,0.32935,0.24102,-0.06001,-0.36104,-0.56267,-0.9508,-0.64977,-0.34874,-0.7933
蘇,18,-1.37432,-1.07329,-0.77226,-0.47123,-0.1702,0.13083,0.43186,0.73289,0.61971,0.46622,0.75795,0.64566,0.07616
玄,12,-0.80441,-0.50338,-0.20235,0.09868,0.39971,0.09868,-0.14213,0.1589,0.11596,0.06831,0.48499,0.24776,-0.02071
准,5,-1.55674,-1.25571,-0.95468,-0.65365,-0.35262,-0.05159,0.24944,0.55047,0.8515,0.84315,0.83463,0.89843,0.5974
貞,12,-1.74804,-1.44701,-1.14598,-0.84495,-0.54392,-0.24289,0.05814,0.35917,0.6602,0.96123,1.26226,1.31311,1.35863
異,262,-0.95394,-0.65291,-0.35188,-0.05085,-0.22329,-0.51358,0.18076,0.48904,0.19215,0.43322,0.36434,0.65254,0.43438
厳,73,-1.31163,-1.0106,-0.70957,-0.40854,-0.10751,0.19352,0.38329,0.5149,0.45992,0.62844,0.49421,0.08088,0.79267
稚,2,-0.13894,0.16209,0.46312,0.76415,1.06518,0.76415,0.46312,0.16209,-0.13894,-0.43997,-0.741,-1.04203,-1.34306
括,19,-1.77571,-1.47468,-1.17365,-0.87262,-0.57159,-0.27056,0.03047,0.3315,0.63253,0.93356,1.23459,1.59942,1.37671
測,200,-1.44638,-1.14535,-0.84432,-0.54329,-0.24226,0.73962,0.02459,-0.18204,0.5131,0.85771,0.44508,1.13727,0.68628
崇,13,-1.24944,-0.94841,-0.64738,-0.34635,-0.04532,0.25571,0.55674,0.25571,0.30382,0.34714,0.64817,0.52305,0.34659
林,109,-0.63284,-0.33181,-0.03078,0.27025,0.57128,-0.33333,-0.07833,-0.71092,0.23409,0.45376,0.01311,0.39912,0.17642
給,135,-0.75376,-0.45273,-0.1517,0.14933,0.15187,-0.03252,-0.35943,-0.08894,0.12908,0.12151,0.43098,0.39786,0.45846
汀,3,-1.80618,-1.50515,-1.20412,-0.90309,-0.60206,-0.30103,0,0.30103,0.60206,0.90309,1.20412,1.50515,1.80618
